影片鍵,發布日期,格式鍵,類型鍵,系列鍵,業配判定鍵,觀看數,按讚數,留言數
1,2010-10-11,1,1,0,1,71771,809,458
2,2010-10-11,1,2,0,1,5921,44,14
3,2010-10-12,1,2,0,1,2146,14,3
4,2010-10-12,1,1,0,1,1542,12,2
5,2010-10-12,1,2,0,1,3683,18,2
6,2010-10-12,1,2,0,1,3140,20,3
7,2010-10-12,1,2,0,1,2327,16,1
8,2010-10-12,1,2,0,1,4282,29,6
9,2010-10-12,1,1,0,1,2094,16,2
10,2010-10-13,1,3,0,2,3181,13,1
11,2010-10-13,1,2,0,1,2210,9,0
12,2010-10-13,1,1,0,1,7675,34,13
13,2010-10-13,1,2,0,1,3799,11,0
14,2010-10-13,1,3,0,2,2330,7,2
15,2010-10-14,1,2,0,1,1847,7,0
16,2010-10-14,1,2,0,1,1718,7,3
17,2010-10-14,1,2,0,1,5478,9,7
18,2010-10-14,1,2,0,1,1964,10,2
19,2010-10-14,1,2,0,1,1198,9,2
20,2010-10-14,1,2,0,1,1505,6,0
21,2010-10-14,1,2,0,1,1896,7,0
22,2010-10-15,1,2,0,1,2287,7,2
23,2010-10-15,1,2,0,1,10505,8,1
24,2010-10-15,1,2,0,1,6355,8,3
25,2010-10-15,1,2,0,1,2181,7,0
26,2010-10-15,1,2,0,1,2671,7,2
27,2010-10-15,1,2,0,1,5426,8,2
28,2010-10-16,1,2,0,1,8631,14,7
29,2010-10-16,1,2,0,1,8444,11,4
30,2010-10-16,1,2,0,1,6888,12,6
31,2010-10-16,1,2,0,1,5794,14,6
32,2010-10-16,1,2,0,1,9204,9,2
33,2010-10-17,1,2,0,1,10065,11,7
34,2010-10-17,1,2,0,1,3724,5,3
35,2010-10-17,1,2,0,1,4934,5,7
36,2010-10-17,1,2,0,1,7982,13,4
37,2010-10-17,1,2,0,1,4048,4,4
38,2010-10-17,1,2,0,1,6016,11,4
39,2010-10-18,1,2,0,1,8740,9,3
40,2010-10-19,1,2,0,1,7403,13,5
41,2010-10-20,1,2,0,1,4261,9,1
42,2010-10-21,1,2,0,1,2328,3,2
43,2010-10-21,1,2,0,1,2985,7,1
